How many years of professional experience do you have?,How many years of data visualization experience do you have doing professional data visualization?,Are you a Data Visualization Society member?,How did you learn data visualization?,What is the highest level of education you have completed?,"If you went to college, in what area was your undergraduate major? ",In what area was your graduate degree?,What country do you live in?,Do you consider yourself a member of a historically disadvantaged or underrepresented racial or ethnic group?,Which of these best describes your role as a data visualizer in the past year?,Which of these best describes your role as a data visualizer in the past year?_1,Which of these best describes your role as a data visualizer in the past year?_2,Which of these best describes your role as a data visualizer in the past year?_3,Which of these best describes your role as a data visualizer in the past year?_4,Which of these best describes your role as a data visualizer in the past year?_5,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Which one of these is the closest to describing your role when hired to freelance?,"For most of your projects, are you able to choose your own tools or are the choices made for you?","As a freelancer, who do you make data visualizations for? ","As a freelancer, who do you make data visualizations for? _1","As a freelancer, who do you make data visualizations for? _2","As a freelancer, who do you make data visualizations for? _3","As a freelancer, who do you make data visualizations for? _4","As a freelancer, who do you make data visualizations for? _5","As a freelancer, who do you make data visualizations for? _6","As a freelancer, who do you make data visualizations for? _7","As a freelancer, who do you make data visualizations for? _8","As a freelancer, who do you make data visualizations for? _9","As a freelancer, who do you make data visualizations for? _10","As a freelancer, who do you make data visualizations for? _11","As a freelancer, who do you make data visualizations for? _12",The organization you work for is in which of the following areas?,The organization you work for is in which of the following areas?_1,The organization you work for is in which of the following areas?_2,The organization you work for is in which of the following areas?_3,The organization you work for is in which of the following areas?_4,The organization you work for is in which of the following areas?_5,The organization you work for is in which of the following areas?_6,The organization you work for is in which of the following areas?_7,The organization you work for is in which of the following areas?_8,The organization you work for is in which of the following areas?_9,What is the size of your organization?,&#65279;Which of these best describes the role of data visualization in your job?,Which one of these is the closest to describing your role at your organization?,How is your organization using data visualization? ,How is your organization using data visualization? _1,How is your organization using data visualization? _2,How is your organization using data visualization? _3,How is your organization using data visualization? _4,How is your organization using data visualization? _5,How is your organization using data visualization? _6,How is your organization using data visualization? _7,How is your organization using data visualization? _8,Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group?,What modes of data visualization are in use at your organization? ,What modes of data visualization are in use at your organization? _1,What modes of data visualization are in use at your organization? _2,What modes of data visualization are in use at your organization? _3,What modes of data visualization are in use at your organization? _4,What modes of data visualization are in use at your organization? _5,What modes of data visualization are in use at your organization? _6,Leadership in your organization has a strong understanding of the value of data visualization,Data visualization at your organization features prominently in what parts of the organization? ,Data visualization at your organization features prominently in what parts of the organization? _1,Data visualization at your organization features prominently in what parts of the organization? _2,Data visualization at your organization features prominently in what parts of the organization? _3,Data visualization at your organization features prominently in what parts of the organization? _4,Data visualization at your organization features prominently in what parts of the organization? _5,Data visualization at your organization features prominently in what parts of the organization? _6,Data visualization at your organization features prominently in what parts of the organization? _7,Data visualization at your organization features prominently in what parts of the organization? _8,How would you describe your relationship with stakeholders?,Are you able to choose your own tools or are the choices made for you?,"In your role within your organization, who do you make data visualizations for? ","In your role within your organization, who do you make data visualizations for? _1","In your role within your organization, who do you make data visualizations for? _2","In your role within your organization, who do you make data visualizations for? _3","In your role within your organization, who do you make data visualizations for? _4","In your role within your organization, who do you make data visualizations for? _5","In your role within your organization, who do you make data visualizations for? _6","In your role within your organization, who do you make data visualizations for? _7","In your role within your organization, who do you make data visualizations for? _8","In your role within your organization, who do you make data visualizations for? _9","In your role within your organization, who do you make data visualizations for? _10","In your role within your organization, who do you make data visualizations for? _11","In your role within your organization, who do you make data visualizations for? _12",How many hours per week do you spend doing data visualization as a hobby or side project?,"I work on uncompensated data visualization side projects in the hope of future professional benefit, such as building my public profile or developing a more impressive portfolio.",I work on uncompensated data visualization side projects purely for my own personal enjoyment.,Are you a full time or part time student?,What degree are you currently pursuing?,Is data visualization formally taught within your degree program?,What are you pursuing a degree in?,In what academic area are you employed?,Do you teach data visualization as a primary course topic?,How do you use data visualization in your work?,How do you use data visualization in your work?_1,How do you use data visualization in your work?_2,How do you use data visualization in your work?_3,How many hours a week have you worked?,Hours a week focused on creating/implementing/producing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? ,What technologies do you use to visualize data? _1,What technologies do you use to visualize data? _2,What technologies do you use to visualize data? _3,What technologies do you use to visualize data? _4,What technologies do you use to visualize data? _5,What technologies do you use to visualize data? _6,What technologies do you use to visualize data? _7,What technologies do you use to visualize data? _8,What technologies do you use to visualize data? _9,What technologies do you use to visualize data? _10,What technologies do you use to visualize data? _11,What technologies do you use to visualize data? _12,What technologies do you use to visualize data? _13,What technologies do you use to visualize data? _14,What technologies do you use to visualize data? _15,What technologies do you use to visualize data? _16,What technologies do you use to visualize data? _17,What technologies do you use to visualize data? _18,What technologies do you use to visualize data? _19,What technologies do you use to visualize data? _20,What technologies do you use to visualize data? _21,What technologies do you use to visualize data? _22,What technologies do you use to visualize data? _23,What technologies do you use to visualize data? _24,What technologies do you use to visualize data? _25,What technologies do you use to visualize data? _26,What technologies do you use to visualize data? _27,What technologies do you use to visualize data? _28,What technologies do you use to visualize data? _29,What technologies do you use to visualize data? _30,What technologies do you use to visualize data? _31,What technologies do you use to visualize data? _32,What technologies do you use to visualize data? _33,How do you present your data visualizations? ,How do you present your data visualizations? _1,How do you present your data visualizations? _2,How do you present your data visualizations? _3,How do you present your data visualizations? _4,How do you present your data visualizations? _5,How do you present your data visualizations? _6,How do you present your data visualizations? _7,How do you present your data visualizations? _8,How do you present your data visualizations? _9,How do you present your data visualizations? _10,How do you present your data visualizations? _11,How do you present your data visualizations? _12,How do you present your data visualizations? _13,How do you present your data visualizations? _14,How do you present your data visualizations? _15,How do you present your data visualizations? _16,Which of these charts have you used in production in the last 6 months? ,Which of these charts have you used in production in the last 6 months? _1,Which of these charts have you used in production in the last 6 months? _2,Which of these charts have you used in production in the last 6 months? _3,Which of these charts have you used in production in the last 6 months? _4,Which of these charts have you used in production in the last 6 months? _5,Which of these charts have you used in production in the last 6 months? _6,Which of these charts have you used in production in the last 6 months? _7,Which of these charts have you used in production in the last 6 months? _8,Which of these charts have you used in production in the last 6 months? _9,Which of these charts have you used in production in the last 6 months? _10,Which of these charts have you used in production in the last 6 months? _11,Which of these charts have you used in production in the last 6 months? _12,Which of these charts have you used in production in the last 6 months? _13,Which of these charts have you used in production in the last 6 months? _14,Which of these charts have you used in production in the last 6 months? _15,Which of these charts have you used in production in the last 6 months? _16,Which of these charts have you used in production in the last 6 months? _17,What is the general level data literacy in the audience you produce visualizations for? ,What is the general level data literacy in the audience you produce visualizations for? _1,What is the general level data literacy in the audience you produce visualizations for? _2,What is your yearly pay (converted to US dollars)?,What is your hourly rate (converted to US dollars)?,"​Do you have access to professional development funds or grants to pay for professional costs such as conference registrations, memberships, software and/or training?",How much is your annual professional development fund in US dollars?,Which of the following would you be likely to use professional development funds on?,Which of the following would you be likely to use professional development funds on?_1,Which of the following would you be likely to use professional development funds on?_2,Which of the following would you be likely to use professional development funds on?_3,Which of the following would you be likely to use professional development funds on?_4,Which of the following would you be likely to use professional development funds on?_5,Which of the following would you be likely to use professional development funds on?_6,Which of the following would you be likely to use professional development funds on?_7,Which of the following would you be likely to use professional development funds on?_8,I have adequate resources to explore the data visualization options I want to use.,What are your biggest frustrations with doing data visualization in your job?,What are your biggest frustrations with doing data visualization in your job?_1,What are your biggest frustrations with doing data visualization in your job?_2,What are your biggest frustrations with doing data visualization in your job?_3,What are your biggest frustrations with doing data visualization in your job?_4,What are your biggest frustrations with doing data visualization in your job?_5,What are your biggest frustrations with doing data visualization in your job?_6,What are your biggest frustrations with doing data visualization in your job?_7,What are your biggest frustrations with doing data visualization in your job?_8,What are your biggest frustrations with doing data visualization in your job?_9,What are your biggest frustrations with doing data visualization in your job?_10,What are your biggest frustrations with doing data visualization in your job?_11,What are your biggest frustrations with doing data visualization in your job?_12,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,Have you changed employment or had a change in employment status in the last year?,Was the current coronavirus pandemic and related economic crisis a factor in your change in employment or employment status?,Are you currently looking for new employment opportunities?,"In your next role, would you like:",What are the three most important issues facing data visualization?,What are the three most important issues facing data visualization?_1,What are the three most important issues facing data visualization?_2,What are the three most important issues facing data visualization?_3,What are the three most important issues facing data visualization?_4,What are the three most important issues facing data visualization?_5,What are the three most important issues facing data visualization?_6,What are the three most important issues facing data visualization?_7,What are the three most important issues facing data visualization?_8,What are the three most important issues facing data visualization?_9,What area is your next priority for improving your data visualization skills?,What area is your next priority for improving your data visualization skills?_1,What area is your next priority for improving your data visualization skills?_2,What area is your next priority for improving your data visualization skills?_3,What area is your next priority for improving your data visualization skills?_4,What area is your next priority for improving your data visualization skills?_5,What methods do you find most helpful in learning new data visualization skills?,What methods do you find most helpful in learning new data visualization skills?_1,What methods do you find most helpful in learning new data visualization skills?_2,What methods do you find most helpful in learning new data visualization skills?_3,What methods do you find most helpful in learning new data visualization skills?_4,What methods do you find most helpful in learning new data visualization skills?_5,What methods do you find most helpful in learning new data visualization skills?_6,What methods do you find most helpful in learning new data visualization skills?_7,Who do you look to as a leader in data visualization?,gender_collapsed
5-10,5,No,Mostly Self-Taught,Masters Degree (or similar graduate degree),"Science, Math, and Technology","Science, Math, and Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA
NA,NA,Yes,Equal Parts School and Self-Taught,Bachelors Degree,Business,NA,Sweden,No,Freelance/Consultant/ Independent contractor,NA,NA,NA,NA,NA,Data visualization is only part of my job,Designer,Clients have a set list of tools I'm expected to use for data visualization and this causes no issue.,NA,NA,NA,NA,NA,NA,NA,Executives,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,40-49 hours/week,10,NA,NA,20,10,NA,NA,NA,NA,NA,Excel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other: Powerpoint,NA,NA,NA,NA,NA,NA,Presentations,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Line Chart,Bar Chart,Pie Chart,NA,NA,NA,Pictorial Visualization,Treemap,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,Moderate,NA,"$40,000 - $59,000",$125 - $149,No,NA,Conference registration,Conference travel and lodging,NA,NA,Professional association memberships,Professional books,NA,NA,Other:,5,NA,NA,Lack of technical skill,Learning new tools/Approaches,NA,NA,NA,NA,NA,Technical limitations of the tools,NA,NA,Other:,More interactivity or animation,NA,No,NA,No,The same amount of data viz as my current role,NA,Data visualization not having a “seat at the table”,NA,NA,NA,NA,NA,NA,Lack of ethical standards for visualizing data ,NA,NA,Improving my skills with an existing technical tool or library,Improving my design skills,NA,NA,Other:,NA,Workshops,Examples,Video Tutorials,NA,NA,NA,Other:,NA,Man
5-10,4,Yes,Mostly Self-Taught,Bachelors Degree,Social Sciences,NA,United Kingdom,No,NA,NA,NA,NA,NA,Passive income from data visualization related products,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,30-39 hours/week,14,3,NA,10,2,NA,NA,NA,NA,NA,Excel,NA,Gephi,NA,Illustrator,NA,NA,NA,NA,NA,NA,Power BI,NA,NA,NA,NA,NA,NA,NA,Tableau,NA,NA,NA,NA,Pen &amp; Paper,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Physical handout or Printed on paper,NA,NA,NA,NA,NA,Other:,NA,Bar Chart,NA,Scatterplot,NA,NA,NA,NA,Dendrogram&#65279;,Network Diagram,NA,NA,"Flow Diagram (Sankey, DAGRE, Flow Chart)",NA,NA,NA,Force-Directed Graph,Other:,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,5,Lack of time,NA,NA,Learning new tools/Approaches,NA,NA,NA,NA,NA,NA,Too much effort spent on non-viz activity,NA,Other:,Easier tools,NA,No,NA,No,The same amount of data viz as my current role,Lack of awareness of the impact of data viz,Data visualization not having a “seat at the table”,Diversity in tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,Improving my design skills,NA,NA,Other:,Books,Workshops,NA,Video Tutorials,NA,Working through a project,NA,Other:,Giorgia Lupi,Man
26-30,(16-20],Yes,Mostly Self-Taught,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA
5 or less,less than 1,I don't know,Mostly from School (or other formal courses),Masters Degree (or similar graduate degree),"Science, Math, and Technology","Science, Math, and Technology",United States,No,NA,Position in an organization with some data viz job responsibilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,Consultant (therefore multiple areas),Other:,100-499 employees,Data visualization is the focus of my job,Analyst&#65279;,NA,NA,Summary/Overview,Communication,Marketing,NA,Storytelling,NA,Other:,Both,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,Man
11-15,(5-10],Yes,Mostly Self-Taught,Bachelors Degree,Business,NA,United States,No,NA,Position in an organization with some data viz job responsibilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,Information Technology,NA,NA,NA,Other:,500+ employees,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Engineer,Analysis,Machine Learning,Summary/Overview,NA,NA,Exploration,Storytelling,NA,Other:,Embedded in another group,Business Intelligence Tools (like Tableau),Interactive Notebooks,"General purpose charting libraries (plotly, highcharts)","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",NA,NA,Other:,7,Design,Engineering,Marketing,Research,IT,Leadership,Data Science/Analytics,NA,Other:,Collaborative,We have a set list of tools we're expected to use for data visualization and it causes some issues,NA,Analysts&#65279;,Engineers,Scientists,NA,Product or Project Managers,NA,Executives,Designers,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,30-39 hours/week,15,10,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,Tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Embedded in a tool,Dashboard,NA,NA,Interactive Notebook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Line Chart,Bar Chart,NA,Scatterplot,Hexbin/Heatmap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,Moderate,NA,"​More than $240,000",$175 - $199,No,NA,Conference registration,NA,NA,Workshops or training seminars,NA,NA,NA,NA,Other:,7,NA,NA,NA,NA,NA,Information overload,NA,NA,NA,Technical limitations of the tools,NA,Data volume,Other:,Better design,"There are trade-offs that need to be made between design, data volume and speed of interactivity",No,NA,No,The same amount of data viz as my current role,NA,NA,Diversity in tech,Income inequality,Lack of data visualization literacy,NA,NA,NA,NA,NA,NA,NA,Improving my design skills,NA,NA,Other:,NA,NA,Examples,Video Tutorials,Collaboration with more skilled practitioners,Working through a project,NA,Other:,NA,Man
5-10,(5-10],Yes,Equal Parts School and Self-Taught,Masters Degree (or similar graduate degree),"Science, Math, and Technology",Arts and Humanities,United Kingdom,No,NA,Position in an organization with some data viz job responsibilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Journalism,NA,NA,NA,NA,NA,NA,NA,NA,Other:,500+ employees,"Data visualization is an important secondary part of my job, but not the focus",Journalist&#65279;,Analysis,Machine Learning,Summary/Overview,Communication,NA,Exploration,Storytelling,Education,Other:,Both,Business Intelligence Tools (like Tableau),NA,NA,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",Hand-crafted in a graphics editor (Illustrator),NA,Other:,6,Design,Engineering,NA,NA,NA,NA,Data Science/Analytics,NA,Other: Editorial,Collaborative,I'm able to choose my own tools,General Public,NA,NA,NA,NA,NA,Policy Makers,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,40-49 hours/week,6,10,NA,2,2,NA,NA,NA,D3.js,NA,Excel,ggplot2,NA,NA,Illustrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,QGIS,NA,R,NA,NA,NA,NA,NA,NA,NA,Pen &amp; Paper,NA,NA,Canvas,NA,Other:,NA,Dashboard,NA,Static Web Page,NA,NA,Presentations,NA,Newspaper or magazine,NA,NA,NA,NA,NA,NA,Video,Other:,Line Chart,Bar Chart,NA,Scatterplot,NA,NA,Pictorial Visualization,Treemap,NA,NA,Choropleth Map,Raster Map,"Flow Diagram (Sankey, DAGRE, Flow Chart)",NA,NA,Bee ​Swarm Chart,NA,Other:,NA,Moderate,NA,"$80,000 - $99,000",$25 - $49,Yes,NA,Conference registration,Conference travel and lodging,NA,Workshops or training seminars,NA,NA,NA,NA,Other:,7,NA,NA,NA,NA,NA,NA,NA,Low Data Literacy Among Stakeholders/Audience,NA,NA,NA,NA,Other:,NA,The length of time required to produce excellent work,No,NA,No,The same amount of data viz as my current role,Lack of awareness of the impact of data viz,NA,NA,NA,Lack of data visualization literacy,NA,NA,NA,NA,NA,NA,NA,NA,Improving my data skills,NA,Other:,NA,Workshops,Examples,Video Tutorials,Collaboration with more skilled practitioners,Working through a project,Mentoring/Teaching others,Other:,Neil Halloran,Man
5 or less,less than 1,No,Equal Parts School and Self-Taught,Bachelors Degree,"Science, Math, and Technology",NA,United States,No,NA,NA,Non-compensated data visualization hobbyist,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,10-20 hours,5,6,Part time,Graduate/masters,"Yes, in a required course",Data Visualization,NA,NA,NA,NA,NA,Other:,Fewer than 20 hours/week,10,2,1,3,2,NA,NA,NA,D3.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,Static Web Page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,App,NA,Other:,NA,NA,NA,NA,Hexbin/Heatmap,Infographics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Force-Directed Graph,Other:,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,6,NA,NA,NA,NA,NA,NA,Lack of Collaboration/Mentorship/Advice,NA,Not enough respect for data visualization among leadership/audience,NA,NA,NA,Other:,More dedicated time,NA,No,NA,No,More data viz,NA,Data visualization not having a “seat at the table”,NA,NA,Lack of data visualization literacy,NA,NA,NA,Lack of ethical standards for visualizing data ,NA,Learning a new technical tool or library,Improving my skills with an existing technical tool or library,NA,NA,NA,Other:,NA,NA,NA,NA,NA,Working through a project,NA,Other:,NA,Man
5 or less,4,Yes,Mostly Self-Taught,Bachelors Degree,Arts and Humanities,NA,United States,No,NA,Position in an organization with some data viz job responsibilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Journalism,NA,NA,Not-for-profit,NA,NA,NA,NA,NA,Other:,Fewer than 20 employees,"Data visualization is an important secondary part of my job, but not the focus",Journalist&#65279;,Analysis,NA,Summary/Overview,Communication,NA,Exploration,Storytelling,NA,Other:,There are no specialists in data visualization in my organization,NA,Interactive Notebooks,NA,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",Hand-crafted in a graphics editor (Illustrator),NA,Other:,5,Design,NA,NA,NA,NA,NA,NA,Communications,Other:,Subordinate,I'm able to choose my own tools,General Public,NA,NA,NA,NA,NA,Policy Makers,NA,NA,Researchers,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,20-29 hours/week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,Other:,NA,Man
16-20,5,No,Mostly Self-Taught,Bachelors Degree,"Science, Math, and Technology",NA,United Kingdom,No,NA,Position in an organization with some data viz job responsibilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,NA,Private sector,NA,NA,NA,NA,NA,NA,Other:,500+ employees,Data visualization is the focus of my job,Analyst&#65279;,Analysis,NA,Summary/Overview,Communication,NA,Exploration,Storytelling,NA,Other:,Both,Business Intelligence Tools (like Tableau),NA,"General purpose charting libraries (plotly, highcharts)",NA,NA,NA,Other:,6,Design,NA,Marketing,NA,IT,Leadership,Data Science/Analytics,NA,Other:,Collaborative,We have a set list of tools we're expected to use for data visualization and this causes no issue,NA,Analysts&#65279;,NA,NA,NA,NA,Policy Makers,Executives,NA,NA,NA,NA,Other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,30-39 hours/week,15,15,NA,4,4,NA,NA,NA,NA,NA,Excel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,NA,Dashboard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Line Chart,Bar Chart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Low,Moderate,NA,"$60,000 - $79,000",$25 - $49,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical limitations of the tools,Too much effort spent on non-viz activity,Data volume,Other:,Better or cleaner data,Why it is done by an Analyst and not a Developer,No,NA,No,The same amount of data viz as my current role,NA,NA,NA,Income inequality,NA,Designing for disabilities,NA,NA,Lack of ethical standards for visualizing data ,NA,NA,Improving my skills with an existing technical tool or library,NA,NA,NA,Other:,NA,NA,Examples,Video Tutorials,Collaboration with more skilled practitioners,Working through a project,Mentoring/Teaching others,Other:,Makeover Monday,Woman
