Variable Name,Value Description,Question Block
How many years of professional experience do you have?,Categorical 5-year increments,All
How many years of data visualization experience do you have doing professional data visualization?,"Categorical, one year increments for values less than five, five year increments thereafter.",All
Are you a Data Visualization Society member?,y/n,All
How did you learn data visualization?,"Categorical, values as string",All
What is the highest level of education you have completed?,"Categorical, values as string",All
"If you went to college, in what area was your undergraduate major?","Categorical, values as string",All
In what area was your graduate degree?,"Categorical, values as string",All
What country do you live in?,"Categorical, values as string",All
Do you consider yourself a member of a historically disadvantaged or underrepresented racial or ethnic group?,y/n,All
Which of these best describes your role as a data visualizer in the past year?,Freelance/Consultant/ Independent contractor,All
Which of these best describes your role as a data visualizer in the past year?_1,Position in an organization with some data viz job responsibilities,All
Which of these best describes your role as a data visualizer in the past year?_2,Non-compensated data visualization hobbyist,All
Which of these best describes your role as a data visualizer in the past year?_3,Student,All
Which of these best describes your role as a data visualizer in the past year?_4,Academic/Teacher,All
Which of these best describes your role as a data visualizer in the past year?_5,Passive income from data visualization related products,All
For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,"Categorical, values as string",Freelance
Which one of these is the closest to describing your role when hired to freelance?,"Categorical, values as string",Freelance
"For most of your projects, are you able to choose your own tools or are the choices made for you?","Categorical, values as string",Freelance
"As a freelancer, who do you make data visualizations for?",General Public,Freelance
"As a freelancer, who do you make data visualizations for?_1",Analysts,Freelance
"As a freelancer, who do you make data visualizations for?_2",Engineers,Freelance
"As a freelancer, who do you make data visualizations for?_3",Scientists,Freelance
"As a freelancer, who do you make data visualizations for?_4",Medical Professionals,Freelance
"As a freelancer, who do you make data visualizations for?_5",Product or Project Managers,Freelance
"As a freelancer, who do you make data visualizations for?_6",Policy Makers,Freelance
"As a freelancer, who do you make data visualizations for?_7",Executives,Freelance
"As a freelancer, who do you make data visualizations for?_8",Designers,Freelance
"As a freelancer, who do you make data visualizations for?_9",Researchers,Freelance
"As a freelancer, who do you make data visualizations for?_10",Students or Teachers,Freelance
"As a freelancer, who do you make data visualizations for?_11",Only myself,Freelance
"As a freelancer, who do you make data visualizations for?_12","Other, free text",Freelance
The organization you work for is in which of the following areas?,Journalism,Organization Employee
The organization you work for is in which of the following areas?_1,Public sector (government),Organization Employee
The organization you work for is in which of the following areas?_2,Private sector,Organization Employee
The organization you work for is in which of the following areas?_3,Not-for-profit,Organization Employee
The organization you work for is in which of the following areas?_4,Healthcare/medical,Organization Employee
The organization you work for is in which of the following areas?_5,Information Technology,Organization Employee
The organization you work for is in which of the following areas?_6,Marketing,Organization Employee
The organization you work for is in which of the following areas?_7,Academia,Organization Employee
The organization you work for is in which of the following areas?_8,Consultant (therefore multiple areas),Organization Employee
The organization you work for is in which of the following areas?_9,"Other, free text",Organization Employee
What is the size of your organization?,"Categorical, values as string",Organization Employee
Which of these best describes the role of data visualization in your job?,"Categorical, values as string",Organization Employee
Which one of these is the closest to describing your role at your organization?,"Categorical, values as string",Organization Employee
How is your organization using data visualization?,Analysis,Organization Employee
How is your organization using data visualization?_1,Machine Learning,Organization Employee
How is your organization using data visualization?_2,Summary/Overview,Organization Employee
How is your organization using data visualization?_3,Communication,Organization Employee
How is your organization using data visualization?_4,Marketing,Organization Employee
How is your organization using data visualization?_5,Exploration,Organization Employee
How is your organization using data visualization?_6,Storytelling,Organization Employee
How is your organization using data visualization?_7,Education,Organization Employee
How is your organization using data visualization?_8,"Other, free text",Organization Employee
Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group?,There are no specialists in data visualization in my organization,Organization Employee
