Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
0-1	0	Masters		Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No		Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Communication		Completely custom (Processing, D3, custom code)	No	Design, Research							D3, Excel, Highcharts	I'm able to choose my own tools.	Embedded in a tool, Documents, Presentations	Line Chart, Bar Chart, Dendrogram, Venn	Scientists	Expert	Quarterly	Research	Consultative	3	The design side of data visualization									More		N/A		Academic
0-1	0	Bachelors	Interaction design	Mostly Self-Taught	Workshops	Intended to work in data visualization	Yes	Visual Journalist	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Student						1	0.2	0	2	1	0.2	D3, Excel, Highcharts, Illustrator, Python	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Network Diagram	General Public	Intro	Monthly	Journalism	Consultative	5	The data side of data visualization	Finding appropriate data			2	3			Lisa Charlotte Rost	More	Male	25 and lower	Norway	Journalism
0-1	0	Bachelors	Journalism	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Digital Producer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator)	Don't Know	Engineering, IT	2	0	2	1	3	0	Highcharts, Illustrator	I'm able to choose my own tools.	Static Web Page	Line Chart, Bar Chart, Scatterplot	General Public	Moderate	Daily	Journalism	Collaborative	3	The data side of data visualization	Coworkers want to push into interactive charts, but I don't see the merit of pushing that into our daily stories.	Learning d3 to automate charts I build constantly.	Why interactive maps need a lot of justification.	5	4	Learning/implementing ai2html	A behind-the-scenes where they break down their processes.	New York Times	Much more	Male	25 and lower	New York	Journalism
0-1	0	Bachelors	Englsh/Creative Writing, Digital Design, Fine Art	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	Yes	Marketing Manager	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration		Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Don't Know	Design, Marketing						2	D3, Excel, Illustrator, Leaflet, Plotly, Python, Tableau	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page, Documents, Presentations	Bar Chart, Scatterplot, Infographics	General Public, Analysts, Executives, Designers	Intro		Entertainment, Journalism, Analysis, Summarization, Research, PR/Branding	Consultative	4	The data side of data visualization	Not enough focus on it - have to do too many other things	More practice and opportunity	How versatile it can be. 	4	4	Clean easy to access data	How to start in the field. A more prescriptive approach	Edward Tufte, Alberto Cairo, Andy Kirk, Elijah Meeks, Lisa Charlotte Rost, Shirley Wu, Nadieh Bremer	Much more	Male	36-45	California	Private sector
0-1	0	Bachelors	Computer Science	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Front End Engineer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Consultant/Contractor/Freelancer						4	0	0	0	0	0	D3, React	I'm able to choose my own tools.	Dashboard, Static Web Page	Scatterplot, Network Diagram, Hive, Chord	Analysts, Engineers, Product Managers, Project Managers, Executives, Designers	Intro, Moderate	Daily	Analysis, Summarization	Consultative	2	The design side of data visualization	My lack of experience meaning I can't always achieve the vision I have	Make it more attractive to the eye		4	4	A framework that better suited my mindset / way I code		Elijah Meeks, Nadieh Bremer, Shirley Wu, Mike Bostock	More	Male	26-35	UK	Private sector
0-1	0	Technical School	Web Development	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Software Developer	Data Visualization Role has higher compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Communication, Exploration	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Design, Engineering, Data Science/Analytics	3	4	0	1	0	0	D3, Plotly, Python, Vue	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Building an application	Scatterplot, Hexbin/Heatmap, 3D Charts, 2D and 3D kernel estimations	Scientists	Moderate, Expert	Daily	Analysis, Education, Research	Collaborative	3	The design side of data visualization	I don't get to do it as much because of all my other responsibilities. I also wish I had more data science knowledge for this job.	Use D3 more		4	5	Know more data science		Mike Bostock, Plotly	Much more	Female	26-35	New York	Private sector
0-1	0	Bachelors	Filmmaking	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Data Experience Designer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration		Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Engineering, Research, Data Science/Analytics	1	0	0	2	0	0	Excel, Illustrator, Plotly, Power BI, Tableau, FusionCharts	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap, Choropleth Map, Flow Diagram	Product Managers, Executives		Monthly	Analysis, Summarization		4	Both				3	4			Tableau, PowerBI	More	Male	26-35	India	Private sector
0-1	0	Bachelors		Mostly Self-Taught	Books	Intended to work in data visualization	Yes	Data Visualization Designer	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Communication, Exploration	Embedded in another group	Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design	7	0	0	4	0	0	D3, Excel, Illustrator	We have a set list of tools we're expected to use for data visualization.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Flow Diagram	Engineers, Project Managers	Moderate	Daily	Analysis, Research	Collaborative	3	The data side of data visualization	Usertests			2	3	Fast prototyping	Setup the usertests for datavis		More	Male	26-35	Netherlands	Private sector
0-1	0	Masters	Software engineering 	Mostly Self-Taught	Video Tutorials	Intended to work in data visualization	No	IOT engineer 	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Machine Learning, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks	Don't Know	Engineering, Research, IT, Data Science/Analytics	3	3	4	3	2	0	ggplot, Python	I'm able to choose my own tools.	Dashboard	Line Chart, Bar Chart, Pie Chart, Scatterplot	Analysts, Engineers	Intro	Weekly	Analysis	Collaborative	2	The data side of data visualization				3	3				Much more	Male	25 and lower	India	Private sector
0-1	0	Masters	Computer Engineering	Equal Parts School and Self-Taught	Examples	Intended to work in data visualization	Yes	Data Visualization Engineer	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Exploration	Embedded in another group	Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Data Science/Analytics	5	0	0	1	2	0	D3, Highcharts, Plotly, Python, React, Web Components	I'm able to choose my own tools.	Embedded in a tool, Static Web Page	Line Chart, Bar Chart, Scatterplot	Analysts, Scientists	Moderate	Daily	Analysis, Research	Subordinate	5	The design side of data visualization	Getting the data 	Goal more defined	The need	3	4	Faster access to the data	Tools they use and their methodology 		Much more	Female	26-35	Portugal	Private sector
