Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Equal Parts School and Self-Taught,"Workshops, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$40k - $60k,$30.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education, It's an academic university with research, so we use it for just about any/every use.",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means, Web-editors and data analysis tools like Google Data Studio (technically business intelligence?)",7,"Design, Engineering, Marketing, Research, IT, Data Science/Analytics",1,0,5,5,1,0,"ArcGIS, Excel, ggplot2, Gephi, Illustrator, Java, Leaflet, Mapbox, Plotly, Python, QGIS, R, Tableau, Web Components, Pen & Paper, Other physical materials, Canvas, GeoDa",I'm able to choose my own tools.,"Dashboard, Documents, Presentations, Email, Digital flyers through social media, dynamic/interactive web pages.","Pie Chart, Hexbin/Heatmap, Infographics, Pictorial Visualization, Network Diagram, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Project Managers, Academic Researchers/Faculty across the board; Librarians","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Education, Research, PR/Branding, Diving boards to develop more along the same idea.",Collaborative,4,"I work with people with a very broad range of ability/skill level with computer science and data topics, and tailoring my work to each level can be difficult. Often the people I'm teaching don't have a strong enough grasp on data science principles, and can't make the leap past that from where they are to design principles and effective communication. I have to teach them data analysis first.","More primers for data viz. for folks who ""don't do data,"" and less gate-keeping. i.e. give us tutorials that don't assume basic knowledge of some topics without declaring that assumption. It's hard for a lot of my stakeholders and myself to get past that first unwritten step that often gets left out of instructional material.","It's not 100% the same as graphic design. It works together with graphic design, but there can be heavy data analysis parts before the visualization even starts. Data viz. starts with data collection and research data management.",4,5,4,"Learning more about the tools I use and how examples are made using them - in great detail, no ""here's the code and that's it."" My colleagues don't know to infer that certain code goes in python, or R, or a webpage. We need it spelled out step by step.",Cohesiveness. ,David McCandless,More,2,Masters,Academic,Biology,Genderqueer,Yes,,USA,English
Mostly Self-Taught,"Workshops, Video Tutorials, Collaboration with more skilled practitioners",Learning a new technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,Less,"Leadership (Manager, Director, VP, etc)","Less than $20,000",$5.00,"Analysis, Communication, Marketing, Exploration, Storytelling, Education",Embedded in another group,"General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Marketing, Research, Leadership",8,2,2,8,10,8,"Excel, Tableau, Piktochart, Venngage, Flourish",I'm able to choose my own tools.,Scrollytelling,"Line Chart, Bar Chart, Pie Chart, Infographics, Pictorial Visualization",General Public,Intro,Not tracked / Unknown,"Journalism, Research, PR/Branding",,4,Developing concept note for the design.,Improve analytical skills and coding to accommodate animated data visualizations.,They don't understand the value of data in future. ,5,5,2,Improve in design skills and news tools by using codes.,"How to create a beautiful and impactful visualizations, ",,Much more,6,Bachelors,Journalism,Public Administration,Man,No,Dar es Salaam,Tanzania,
Equal Parts School and Self-Taught,"Examples, Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,"Leadership (Manager, Director, VP, etc)",$120k - $140k,,"Analysis, Summary/Overview, Communication, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), excel and ppt",4,"Data Science/Analytics, ORSA",5,0,0,0,5,0,"Excel, Power BI, R, Tableau, Pen & Paper, PowerPoint",We have a set list of tools we're expected to use for data visualization and it causes some issues,Presentations,"Line Chart, Bar Chart, Pie Chart, Scatterplot, Treemap",Military Leaders,Intro,Not tracked / Unknown,"Analysis, Decision Making",Subordinate,3,Lack of access and education,Getting access to the right tools,How to analyze and make sound decisions based on the presented data,4,5,4,Access to the right tools,Business rules and practices,,More,7,Masters,Public sector,Mathematics,Man,No,Washington D.C.,USA,
Mostly Self-Taught,"Examples, Working through a project",Improving my data skills,Yes,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$100k - $120k,$65.00,"Analysis, Summary/Overview, Marketing",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),7,"Marketing, Leadership, Data Science/Analytics",5,2,0,5,2,0,"Excel, Google data studio",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Presentations, Email","Line Chart, Bar Chart","Analysts, Executives",Moderate,Monthly,"Analysis, PR/Branding, Marketing",Consultative,4,Choosing a platform,Use Tableau,,3,5,5,Tableau subscription,Samples and examples,Stephen Few,Much more,5,Bachelors,Marketing,English!,Man,No,Petaluma,USA,English
Mostly Self-Taught,"Examples, Working through a project",Improving my data skills,Yes,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$100k - $120k,$65.00,"Analysis, Summary/Overview, Marketing",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),7,"Marketing, Leadership, Data Science/Analytics",5,2,0,5,2,0,"Excel, Google data studio",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Presentations, Email","Line Chart, Bar Chart","Analysts, Executives",Moderate,Monthly,"Analysis, PR/Branding, Marketing",Consultative,4,Choosing a platform,Use Tableau,,3,5,5,Tableau subscription,Samples and examples,Stephen Few,Much more,5,Bachelors,Marketing,English!,Man,No,Petaluma,USA,English
Mostly Self-Taught,"Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,Occasional,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Developer,$80k - $100k,$50.00,"Analysis, Communication, Marketing",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Engineering, Marketing",2,2,0,2,3,3,"D3, Illustrator, Leaflet, Power BI",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Documents, Email","Bar Chart, Pie Chart, Infographics, Treemap, Network Diagram","General Public, Engineers, Product Managers, Project Managers, Executives, Designers","Intro, Moderate, Expert",Daily,"Analysis, Summarization, Education, Custom dynamic control panels",Subordinate,2,It's tough to have enough time to stay up to date on the rapidly changing technologies,I would do more of it,How quickly and effectively it can convey large amounts of rich information,5,4,5,Adding more hours to the day?,,Mike Bostock,Much more,,Some college,Private sector,Computer Science,Man,"No, but I identify as an Ally",Denver,USA,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Hired to do data visualization,About as much as I expected for this role,Analyst,$100k - $120k,$80.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Both,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"Design, Engineering, Marketing, Research, IT, Leadership, Data Science/Analytics",16,5,0,5,14,0,"Power BI, Tableau, Pen & Paper",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap","Analysts, Engineers, Medical Professionals, Product Managers, Executives","Intro, Moderate, Expert",Daily,"Analysis, Summarization, Research, PR/Branding",Collaborative,4,Having to use text tables with basic visuals,be more agile,Adopting data viz in lieu of text tables. Understanding how to use and interpret visual data,4,4,2,"Ongoing training, exploration using Data Viz in new ways","samples, use-cases, sharing",,Much more,8,Bachelors,Private sector,Information Technology,Man,No,Phoenix,USA,
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,Occasional,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,"Leadership (Manager, Director, VP, etc)",$20k - $40k,$120.00,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Education",Both,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Marketing, IT, Leadership, Data Science/Analytics",6,2,2,2,2,8,"D3, Angular, Excel, Java, R, React, Vega, Pen & Paper",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Scrollytelling, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Treemap, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart), 3D Charts","General Public, Analysts, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization",Collaborative,4,,,,4,4,2,,,,More,25,PhD,Private sector,Engineering,Man,No,Athens,Greece,
Equal Parts School and Self-Taught,"Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,Less,Academic,$100k - $120k,$100.00,"Analysis, Communication, Exploration, Storytelling, Education",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Engineering, Research, Data Science/Analytics",5,2,5,5,2,0,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Processing, Python, QGIS, Pen & Paper, P5/Processing, Three.js",I'm able to choose my own tools.,"Scrollytelling, Static Web Page, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Network Diagram, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","General Public, Analysts, Scientists, Designers","Intro, Moderate, Expert",Quarterly,"Entertainment, Journalism, Analysis, Education, Research",Collaborative,5,Not enough time,I'd do more of it,,5,5,4,Spending more time on it,,,Much more,8,Masters,Academic + Journalism,Philosophy,Man,No,New York,USA,"English, Spanish"
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,No,Data visualization is the focus of my job,Data visualization is only part of my job,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$140k - $160k,$210.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Engineering, Marketing, Research, Leadership, Data Science/Analytics",20,0,20,10,0,40,"D3, Excel, Java, Mapbox, Python, R, Vega, Vue, WebGL, Pen & Paper",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map, Raster Map","General Public, Analysts, Engineers, Scientists, Product Managers, Project Managers, Executives, Designers",Moderate,Daily,"Analysis, Research",Collaborative,5,Gaining access to key data,More time to foster new collaborations and partnerships ,"This is our foundation, so not applicable internally — the challenge can be collaborators and prospective clients, so external to the org",4,5,2,Unlimited access to needed data sets,Leadership on policy related to open as well as securing data,,More,4,Graduate level,We are a private company but work in all sectors listed,Nuclear Engineering Technology ,Man,"No, but I identify as an Ally",Manassas,USA,English
